mode,n,time_ms,comparisons,assignments
random,100,0.01811799999984487,151,149
random,100,0.010831999997407138,150,150
random,100,0.009509999998158492,151,149
random,100,0.014714999998943767,151,149
random,100,0.009262999999037902,150,150
random,1000,0.13080499999773565,1506,1494
random,1000,0.15278400000084957,1502,1498
random,1000,0.1429649999984406,1504,1496
random,1000,0.13966999999937002,1506,1494
random,1000,0.10986799999912478,1506,1494
random,10000,1.8439470000011227,15051,14949
random,10000,1.324892999999605,15054,14946
random,10000,1.643195999999847,15054,14946
random,10000,1.9702480000027833,15048,14952
random,10000,2.020891000000802,15053,14947
random,50000,9.321593999999322,75279,74721
random,50000,6.604242000001648,75317,74683
random,50000,7.391184999999467,75251,74749
random,50000,6.215615999998647,75244,74756
random,50000,6.959552000001423,75229,74771
halfMajority,100,0.012981000001133225,187,113
halfMajority,100,0.01637099999740599,194,106
halfMajority,100,0.010216999999812515,183,117
halfMajority,100,0.013947000002900722,183,117
halfMajority,100,0.01036900000173091,193,107
halfMajority,1000,0.16903199999873664,1950,1050
halfMajority,1000,0.1498430000026474,1956,1044
halfMajority,1000,0.1408130000015717,1955,1045
halfMajority,1000,0.1317299999996635,1949,1051
halfMajority,1000,0.12809100000055196,1945,1055
halfMajority,10000,1.3778929999972434,19783,10217
halfMajority,10000,1.5048019999994722,19977,10023
halfMajority,10000,1.3197359999992386,19939,10061
halfMajority,10000,1.3741920000001073,19801,10199
halfMajority,10000,1.326664999997007,19949,10051
halfMajority,50000,6.750035999999682,99835,50165
halfMajority,50000,7.654551999998205,99772,50228
halfMajority,50000,7.186501999999706,99913,50087
halfMajority,50000,7.212548999998347,99703,50297
halfMajority,50000,7.468687999999446,99663,50337
noMajority,100,0.018061999998764122,150,150
noMajority,100,0.011191999998771962,150,150
noMajority,100,0.00833700000058002,150,150
noMajority,100,0.010192999997826746,150,150
noMajority,100,0.012290000000803047,150,150
noMajority,1000,0.14446899999853713,1500,1500
noMajority,1000,0.15093800000087754,1500,1500
noMajority,1000,0.1073719999986622,1500,1500
noMajority,1000,0.13220299999971985,1500,1500
noMajority,1000,0.10256199999858495,1500,1500
noMajority,10000,1.1819150000000889,15000,15000
noMajority,10000,1.2251839999990466,15000,15000
noMajority,10000,1.1697009999984687,15000,15000
noMajority,10000,1.3269879999988632,15000,15000
noMajority,10000,1.1570039999995174,15000,15000
noMajority,50000,6.186077999998929,75000,75000
noMajority,50000,6.274908000001744,75000,75000
noMajority,50000,6.052312000001336,75000,75000
noMajority,50000,6.774092000000564,75000,75000
noMajority,50000,7.560373000000453,75000,75000
